宁夏2025年新高考一分一段表
格式说明：每列两子列 = 分数段（如"616分以上"）+ 累计人数（即位次）
选科对应：普通历史=历史类，普通物理=物理类，体育历史=体育历史类，体育物理=体育物理类

--- 普通历史 ---
--- 普通物理 ---
--- 体育历史 ---
--- 体育物理 ---
普通历史: 470分以上分, 位次4195 | 普通物理: 496分以上分, 位次7490 | 体育历史: 412分以上分, 位次561 | 体育物理: 425分以上分, 位次688
普通历史: 469分以上分, 位次4267 | 普通物理: 495分以上分, 位次7595 | 体育历史: 411分以上分, 位次562 | 体育物理: 424分以上分, 位次694
普通历史: 468分以上分, 位次4543 | 普通物理: 494分以上分, 位次7705 | 体育历史: 410分以上分, 位次566 | 体育物理: 423分以上分, 位次697
普通历史: 467分以上分, 位次4317 | 普通物理: 493分以上分, 位次7799 | 体育历史: 409分以上分, 位次568 | 体育物理: 422分以上分, 位次699
普通历史: 466分以上分, 位次4377 | 普通物理: 492分以上分, 位次7938 | 体育历史: 408分以上分, 位次570 | 体育物理: 421分以上分, 位次703
普通历史: 465分以上分, 位次4427 | 普通物理: 491分以上分, 位次8062 | 体育历史: 407分以上分, 位次576 | 体育物理: 420分以上分, 位次706
普通历史: 464分以上分, 位次462 | 普通物理: 490分以上分, 位次8208 | 体育历史: 406分以上分, 位次581 | 体育物理: 419分以上分, 位次711
普通历史: 463分以上分, 位次4585 | 普通物理: 489分以上分, 位次8314 | 体育历史: 405分以上分, 位次587 | 体育物理: 418分以上分, 位次714
普通历史: 462分以上分, 位次462 | 普通物理: 488分以上分, 位次8430 | 体育历史: 404分以上分, 位次588 | 体育物理: 417分以上分, 位次718
普通历史: 461分以上分, 位次4706 | 普通物理: 487分以上分, 位次8559 | 体育历史: 403分以上分, 位次592 | 体育物理: 416分以上分, 位次720
普通历史: 460分以上分, 位次4768 | 普通物理: 486分以上分, 位次8674 | 体育历史: 402分以上分, 位次595 | 体育物理: 415分以上分, 位次721
普通历史: 459分以上分, 位次4830 | 普通物理: 485分以上分, 位次8807 | 体育历史: 401分以上分, 位次598 | 体育物理: 414分以上分, 位次724
普通历史: 458分以上分, 位次4911 | 普通物理: 484分以上分, 位次8933 | 体育历史: 400分以上分, 位次601 | 体育物理: 413分以上分, 位次729
普通历史: 457分以上分, 位次4991 | 普通物理: 483分以上分, 位次9067 | 体育历史: 399分以上分, 位次605 | 体育物理: 412分以上分, 位次732
普通历史: 456分以上分, 位次5062 | 普通物理: 482分以上分, 位次9186 | 体育历史: 398分以上分, 位次609 | 体育物理: 411分以上分, 位次733
普通历史: 455分以上分, 位次5141 | 普通物理: 481分以上分, 位次9318 | 体育历史: 397分以上分, 位次614 | 体育物理: 410分以上分, 位次737
普通历史: 454分以上分, 位次5199 | 普通物理: 480分以上分, 位次9464 | 体育历史: 396分以上分, 位次615 | 体育物理: 409分以上分, 位次740
普通历史: 453分以上分, 位次5285 | 普通物理: 479分以上分, 位次9765 | 体育历史: 395分以上分, 位次616 | 体育物理: 408分以上分, 位次744
普通历史: 452分以上分, 位次5356 | 普通物理: 478分以上分, 位次9903 | 体育历史: 394分以上分, 位次619 | 体育物理: 407分以上分, 位次745
普通历史: 451分以上分, 位次5432 | 普通物理: 477分以上分, 位次10037 | 体育历史: 393分以上分, 位次621 | 体育物理: 406分以上分, 位次749
普通历史: 450分以上分, 位次5501 | 普通物理: 476分以上分, 位次10188 | 体育历史: 392分以上分, 位次623 | 体育物理: 405分以上分, 位次753
普通历史: 449分以上分, 位次5648 | 普通物理: 475分以上分, 位次10345 | 体育历史: 391分以上分, 位次626 | 体育物理: 404分以上分, 位次758
普通历史: 448分以上分, 位次5739 | 普通物理: 474分以上分, 位次10484 | 体育历史: 390分以上分, 位次629 | 体育物理: 403分以上分, 位次760
普通历史: 447分以上分, 位次5723 | 普通物理: 473分以上分, 位次10636 | 体育历史: 389分以上分, 位次635 | 体育物理: 402分以上分, 位次764
普通历史: 446分以上分, 位次5785 | 普通物理: 472分以上分, 位次10789 | 体育历史: 388分以上分, 位次639 | 体育物理: 401分以上分, 位次768
普通历史: 445分以上分, 位次5868 | 普通物理: 471分以上分, 位次10935 | 体育历史: 387分以上分, 位次640 | 体育物理: 400分以上分, 位次770
普通历史: 444分以上分, 位次5953 | 普通物理: 470分以上分, 位次11084 | 体育历史: 386分以上分, 位次641 | 体育物理: 399分以上分, 位次771
